evalMode,method,seq_pos,pid,order,a,r,f,y,z,u,T1,class,weight,base_est,slack,deadline,aisle_switch,cum_time_end
aisle,DHGA,54,32,9,13,13,A,1,3,2,0.848280,medium,2,6.094233,4.677235,28.504161,0,52.930080
aisle,DHGA,55,12,5,13,13,A,3,1,1,0.654880,loose,1,8.007323,9.250194,74.069295,0,53.584960
aisle,DHGA,56,73,21,12,12,A,1,1,1,0.593920,loose,1,8.007323,7.194422,57.608059,1,55.503880
aisle,DHGA,57,54,17,12,12,A,3,3,2,0.872120,loose,1,6.094233,8.550253,52.107238,0,56.376000
aisle,DHGA,58,95,29,12,11,B,3,1,2,0.628360,loose,1,2.093505,6.735994,14.101837,0,57.004360
aisle,DHGA,59,151,45,12,12,A,1,3,2,0.829720,medium,2,8.007323,3.873341,31.015096,0,57.834080
aisle,DHGA,60,13,5,12,11,B,2,4,2,0.944960,loose,1,8.007323,9.250194,74.069295,0,58.779040
aisle,DHGA,61,85,25,12,11,B,2,3,1,0.821760,medium,2,6.094233,3.606049,21.976104,0,59.600800
aisle,DHGA,62,14,5,14,14,A,2,3,1,0.877440,loose,1,8.007323,9.250194,74.069295,1,61.803240
aisle,DHGA,63,272,82,14,14,A,3,4,2,1.021840,loose,1,6.094233,7.887403,48.067677,0,62.825080
aisle,DHGA,64,280,85,14,14,A,3,3,2,0.909240,loose,1,6.094233,7.758209,47.280336,0,63.734320
aisle,DHGA,65,255,75,14,13,B,3,3,1,0.880080,loose,1,4.123914,9.032957,37.251141,0,64.614400
aisle,DHGA,66,129,37,14,14,A,2,2,2,0.775440,medium,2,13.429826,3.338419,44.834391,0,65.389840
aisle,DHGA,67,257,76,14,13,B,2,1,1,0.633680,urgent,5,4.123914,1.614156,6.656641,0,66.023520
aisle,DHGA,68,76,22,14,14,A,3,3,1,0.898640,medium,2,9.865909,4.310064,42.522703,0,66.922160
aisle,DHGA,69,193,58,14,13,B,2,3,1,0.858880,loose,1,13.429826,9.166272,123.101435,0,67.781040
aisle,DHGA,70,194,58,14,14,A,2,1,2,0.662840,loose,1,13.429826,9.166272,123.101435,0,68.443880
aisle,DHGA,71,196,58,14,13,B,3,1,1,0.654880,loose,1,13.429826,9.166272,123.101435,0,69.098760
aisle,DHGA,72,197,58,14,14,A,1,4,1,0.968840,loose,1,13.429826,9.166272,123.101435,0,70.067600
aisle,DHGA,73,251,74,14,13,B,1,4,1,0.950280,loose,1,9.865909,6.957722,68.644246,0,71.017880
aisle,DHGA,74,263,78,14,13,B,2,2,1,0.746280,loose,1,9.865909,8.759641,86.421820,0,71.764160
aisle,DHGA,75,283,86,14,14,A,2,4,1,0.990040,loose,1,9.865909,7.718536,76.150376,0,72.754200
aisle,DHGA,76,278,84,14,13,B,2,2,2,0.756880,medium,2,8.007323,4.454265,35.666735,0,73.511080
aisle,DHGA,77,23,7,19,19,A,2,3,2,0.980840,loose,1,9.865909,9.068577,89.469750,1,75.816920
aisle,DHGA,78,24,7,19,19,A,3,2,1,0.878840,loose,1,9.865909,9.068577,89.469750,0,76.695760
aisle,DHGA,79,245,72,19,19,A,2,4,1,1.082840,loose,1,6.094233,7.303651,44.510153,0,77.778600
aisle,DHGA,80,207,62,19,18,B,1,2,1,0.817880,loose,1,6.094233,6.440355,39.249027,0,78.596480
aisle,DHGA,81,25,7,20,20,A,3,2,1,0.897400,loose,1,9.865909,9.068577,89.469750,1,80.818880
aisle,DHGA,82,199,60,20,19,B,1,4,1,1.061640,loose,1,9.865909,8.641997,85.261149,0,81.880520
aisle,DHGA,83,261,78,20,20,A,1,1,1,0.742400,loose,1,9.865909,8.759641,86.421820,0,82.622920
aisle,DHGA,84,218,64,20,20,A,2,4,2,1.112000,loose,1,9.865909,6.883908,67.916012,0,83.734920
aisle,DHGA,85,81,23,20,19,B,3,2,2,0.889440,loose,1,6.094233,9.397097,57.268101,0,84.624360
aisle,DHGA,86,56,17,20,20,A,1,3,1,0.967600,loose,1,6.094233,8.550253,52.107238,0,85.591960
aisle,DHGA,87,246,72,20,19,B,1,3,2,0.959640,loose,1,6.094233,7.303651,44.510153,0,86.551600
aisle,DHGA,88,82,24,20,19,B,1,1,1,0.723840,loose,1,4.123914,6.605599,27.240923,0,87.275440
aisle,DHGA,89,223,66,20,19,B,2,3,1,0.970240,medium,2,6.094233,4.017275,24.482212,0,88.245680
aisle,DHGA,90,156,46,17,16,B,1,3,1,0.893360,loose,1,11.672586,8.798572,102.702084,1,90.464040
aisle,DHGA,91,157,46,17,16,B,2,3,2,0.925160,loose,1,11.672586,8.798572,102.702084,0,91.389200
aisle,DHGA,92,159,46,17,16,B,3,2,1,0.823160,loose,1,11.672586,8.798572,102.702084,0,92.212360
aisle,DHGA,93,237,69,17,17,A,2,2,2,0.831120,loose,1,11.672586,8.112450,94.693272,0,93.043480
aisle,DHGA,94,252,74,17,16,B,3,1,2,0.721160,loose,1,9.865909,6.957722,68.644246,0,93.764640
aisle,DHGA,95,281,85,17,17,A,1,1,2,0.697320,loose,1,6.094233,7.758209,47.280336,0,94.461960
aisle,DHGA,96,209,62,17,16,B,1,4,2,1.016560,loose,1,6.094233,6.440355,39.249027,0,95.478520
aisle,DHGA,97,238,70,16,16,A,1,1,2,0.678760,medium,2,2.093505,4.298062,8.998013,1,97.482280
aisle,DHGA,98,158,46,16,15,B,3,3,2,0.927800,loose,1,11.672586,8.798572,102.702084,0,98.410080
aisle,DHGA,99,262,78,16,15,B,1,2,1,0.762200,loose,1,9.865909,8.759641,86.421820,0,99.172280
aisle,DHGA,100,178,53,16,16,A,3,1,2,0.721160,medium,2,2.093505,4.465558,9.348667,0,99.893440
aisle,DHGA,101,265,79,16,15,B,2,1,1,0.670800,loose,1,8.007323,9.361166,74.957879,0,100.564240
aisle,DHGA,102,201,60,16,15,B,2,4,1,1.008600,loose,1,9.865909,8.641997,85.261149,0,101.572840
aisle,DHGA,103,192,58,16,15,B,1,4,1,0.987400,loose,1,13.429826,9.166272,123.101435,0,102.560240
aisle,DHGA,104,250,74,16,15,B,3,3,1,0.917200,loose,1,9.865909,6.957722,68.644246,0,103.477440
aisle,DHGA,105,249,74,16,16,A,1,4,2,1.016560,loose,1,9.865909,6.957722,68.644246,0,104.494000
aisle,DHGA,106,215,64,16,15,B,2,3,1,0.896000,loose,1,9.865909,6.883908,67.916012,0,105.390000
aisle,DHGA,107,222,66,16,15,B,1,1,2,0.660200,medium,2,6.094233,4.017275,24.482212,0,106.050200
aisle,DHGA,108,29,8,18,18,A,2,1,2,0.737080,medium,2,8.007323,4.490935,35.960367,1,108.112280
aisle,DHGA,109,195,58,18,17,B,3,4,2,1.077520,loose,1,13.429826,9.166272,123.101435,0,109.189800
aisle,DHGA,110,146,44,18,18,A,3,2,1,0.860280,loose,1,9.865909,8.870398,87.514542,0,110.050080
aisle,DHGA,111,282,85,18,17,B,3,2,2,0.852320,loose,1,6.094233,7.758209,47.280336,0,110.902400
aisle,DHGA,112,203,60,18,17,B,2,2,1,0.820520,loose,1,9.865909,8.641997,85.261149,0,111.722920
aisle,DHGA,113,253,74,18,17,B,3,2,1,0.841720,loose,1,9.865909,6.957722,68.644246,0,112.564640
aisle,DHGA,114,124,36,18,18,A,2,2,1,0.839080,loose,1,6.094233,9.439507,57.526557,0,113.403720
aisle,DHGA,115,55,17,18,17,B,3,4,1,1.066920,loose,1,6.094233,8.550253,52.107238,0,114.470640
aisle,DHGA,116,236,69,5,5,A,2,2,2,0.608400,loose,1,11.672586,8.112450,94.693272,1,116.404040
aisle,DHGA,117,233,69,5,5,A,2,3,1,0.710400,loose,1,11.672586,8.112450,94.693272,0,117.114440
aisle,DHGA,118,232,69,5,5,A,3,3,2,0.742200,loose,1,11.672586,8.112450,94.693272,0,117.856640
aisle,DHGA,119,227,67,5,4,B,1,2,1,0.558040,loose,1,9.865909,7.905959,77.999470,0,118.414680
